2011Aamer1000	2011Aamer1001	2011Aamer947	2011Aamer948	2011Aamer949	2011Aamer951	2011Aamer952	2011Aamer953	2011Aamer957	2011Aamer958	2011Aamer959	2011Aamer961	2011Aamer962	2011Aamer963	2011Aamer964	2011Aamer965	2011Aamer966	2011Aamer971	2011Aamer974	2011Aamer975	2011Aamer976	2011Aamer978	2011Aamer982	2011Aamer983	2011Aamer987	2011Aamer989	2011Aamer990	2011Aamer992	2011Aamer993	2011Aamer994	2011Aamer995	2011Aamer996	2011Aamer997	2011Dvar1	2011Dvar16	2011Dvar17	2011Dvar18	2011Dvar2	2011Dvar20	2011Dvar22	2011Dvar23	2011Dvar26	2011Dvar28	2011Dvar3	2011Dvar32	2011Dvar4	2011Dvar40	2011Dvar42	2011Dvar46	2013Dvar51	2013Dvar52	2013Dvar55	2013Dvar62	2013Dvar63	2013Dvar64	2013Dvar65	AM2_FL05_15	AM2_TH07_28	AM2_TH07_29	AM2_TH07_30	AM2_TH07_31	AM2_TH07_32	AM2_TH07_33	AM2_TH07_34	AM2_TH07_41	AM2_TH07_43	AM2_TH07_48	AM2_TH07_49	AM2_TH07_50	AM2_TH07_89	AM_FL05_10	AM_FL05_12	AM_FL05_13	AM_FL05_16	AM_FL05_17	AM_FL05_19	AM_FL05_2	AM_FL05_20	AM_FL05_21	AM_FL05_24	AM_FL05_27	AM_FL05_6	AM_FL05_7	AM_FL05_8	AM_FL05_9	DV2_2011Dvar19	DV2_2011Dvar30	DV2_2011Dvar43	DV2_2011Dvar48	DV2_2011Dvar49	DV2_2011Dvar5	DV2_2013Dvar56	DV2_2013Dvar66	DV_FL05_14	IS_CT_1	IS_CT_10	IS_CT_11	IS_CT_12	IS_CT_13	IS_CT_14	IS_CT_15	IS_CT_17	IS_CT_19	IS_CT_2	IS_CT_21	IS_CT_22	IS_CT_23	IS_CT_24	IS_CT_25	IS_CT_26	IS_CT_27	IS_CT_28	IS_CT_29	IS_CT_3	IS_CT_30	IS_CT_34	IS_CT_35	IS_CT_4	IS_CT_41	IS_CT_43	IS_CT_44	IS_CT_45	IS_CT_49	IS_CT_5	IS_CT_50	IS_CT_51	IS_CT_52	IS_CT_6	IS_CT_7	IS_CT_8
2011Aamer1000	0	1.16696459138227	0.895533494828641	1.31207749897786	0.967709742147923	0.918635188489969	2.08492690601637	1.37012015927363	0.863546621196563	0.926531326368407	1.01715194149498	0.988811337133631	1.0511577020419	1.07324999003308	1.68287025541513	1.67175711871342	1.89856981176753	1.250357971371	0.63653423349102	2.25782110921348	0.913116377758608	0.925741230912289	1.42197250066554	0.951677351864591	1.02421106939683	0.920494653600443	2.16763741907566	2.11899526503742	1.39411806193378	1.85929535146168	1.00143733978267	2.20405412320955	0.990007212970189	3.27002555003657	3.28440370624075	3.28238331164537	3.25738779374256	3.25229728471445	1.8478264027527	1.78194653749516	2.90494997448717	3.27018594241092	2.31881653881328	1.60349879409652	1.97521879892937	3.27691127450393	3.28483028686034	1.63210395541307	3.2464932838144	1.47270239374525	1.57222803230734	1.65099126553686	1.38745668621042	2.35669758171323	1.92252386173852	3.27446388662343	2.33854342202513	1.79401450383017	1.58997590204978	1.72353258651497	1.45960201818407	2.04358416846236	3.26824515978331	1.76956187225369	1.55433285526428	1.7672648894846	1.53403721895657	1.81718156796177	1.94570892838651	1.99564685508834	2.46417827483261	2.15541505677677	1.94062763197657	2.48973392230696	1.96536074105519	1.96161100901173	2.38560537363538	2.50197665952682	1.88567348411251	1.87606011423702	1.73352934561922	2.02000251405957	2.33801680417892	2.40683394123961	1.88618177686643	1.58070085935575	1.5716275756877	2.13174676281424	1.39657809590155	1.6040335643742	1.55905779596941	1.37449487017668	1.94545421417185	1.80639589847851	1.66223024148221	2.52123251930162	2.51993289397595	1.75801969366472	1.59684613303036	1.74838135101184	2.04107632870111	2.48829894862997	1.57961476623859	2.13407752333274	1.58368492289628	2.54886116814431	2.19559844687525	2.40168063171438	2.46182734042743	2.21058658759774	1.59125471199868	2.24708011229262	1.60735246573799	1.85501209075494	2.12760351157094	1.89130678335351	1.88640928603975	1.59182285288062	1.89229296055051	2.16517054199663	2.55090974649261	2.176864492731	1.57380439905949	1.49331066349236	1.61352992458646	2.39346535458276	2.54522013750304	2.28540532082255	1.55795878341951	1.74164191258192
2011Aamer1001	1.16696459138227	0	1.26710320364286	1.09726015194666	1.39234195735818	1.21766143612418	1.66500235882085	1.09123552073785	1.22260929568689	1.24486172748382	1.56535932569267	1.50504693322899	1.19188208598502	1.59740172073089	1.3457256282285	1.36655034718264	1.48558060056902	1.52692347780791	1.15034904315951	1.82337741436928	1.33972357923528	1.39494582604666	1.53607016279889	1.13906050155556	1.51708831798185	1.14500069949629	1.73342535597441	1.69792329714714	1.6220036883873	1.48120688084109	1.50434490090305	1.76851837800318	1.46055793407211	2.88505314127418	2.90509132613107	2.90178332092009	2.87643281566335	2.86794218342577	1.57196420881902	1.45012285296488	2.54078669222763	2.89039169763719	1.95522750145757	1.55962482530479	1.60787595188124	2.89592668457318	2.90482265944842	1.90528116389708	2.86558371556233	1.61352428221487	1.76383676940441	1.96829846534894	1.41045190020929	1.99130418431062	1.636418205255	2.89064109195158	1.99572502122186	1.47259027413161	1.47382911719677	1.51570662216703	1.60781372737174	1.72158724839318	2.88437643618322	1.53685667726369	1.71096714807795	1.58002274702771	1.56282993556433	1.59185659038244	1.57145163089451	1.69353581139225	2.06381483749754	1.77544702415701	1.63603103808485	2.09328165718711	1.59112605170332	1.54586537018138	1.96646494031651	2.13769772897971	1.49963201967383	1.55045529549065	1.52482251757409	1.65407560129367	1.91453585353239	2.00190831498523	1.61550610022711	1.49607971051813	1.47529296628568	1.80689659846296	1.25651778920555	1.54677070475006	1.55627555917228	1.3384790992877	1.65519188992364	1.60062492069379	1.71698210455438	2.68163039125417	2.68017962476697	1.70407070821694	1.71822248388444	1.67384117231415	2.00476053299341	2.222231752864	1.64106604930972	2.09197778832855	1.68051365125279	2.71643166558557	2.34989370147822	2.53074796880883	2.60834295928009	2.26850704933906	1.68289411789215	2.37613848630819	1.64587448162307	1.95266388707709	2.00263972912678	1.7205202718332	1.71166927092444	1.64857935741929	1.74599097560239	2.02874319897369	2.20939153260734	2.04522532171226	1.62776460338005	1.64224654938167	1.62768183221292	2.51896342389523	2.71145449432827	2.40662607330886	1.65813144159201	1.87752660891291
2011Aamer947	0.895533494828641	1.26710320364286	0	1.38418929265401	0.642546617558602	0.642636644947983	2.27606219314038	1.6213307472308	0.770833911661909	0.869190798011576	0.700738927246803	0.678941506692587	1.15614955059629	0.710790432016357	1.83261181492181	1.85882137442709	2.04836311930453	1.30964767869721	0.971963325220659	2.45505718642479	0.661468806884346	0.637503044282143	1.56936554626097	1.0290842963985	0.673423244704992	0.718374395912744	2.34137519140034	2.30456184635149	1.45835315943978	2.0087892029103	0.669114166053148	2.38211198392162	0.641579644054423	3.55220671301995	3.56181703349765	3.5611554953043	3.53570530688984	3.53230075854718	2.06092073305501	1.85643612164303	3.19866588517948	3.54828223028552	2.57760530325843	1.78444141885773	2.14786936121823	3.5566950313319	3.56340795471568	1.62777425094483	3.5245504434109	1.55833232776485	1.76207539230562	1.60011130835358	1.53500188302034	2.60758093398057	2.23464245131967	3.55571180702163	2.67079722726137	2.03661008745931	1.7859605591275	1.92122785841581	1.59316586692566	2.29158978421575	3.54937431101244	1.98451093957831	1.76190172704666	2.04708943062364	1.68531474683396	2.10507061608251	2.19268658138983	2.28974844438467	2.78139537373438	2.46382509520014	2.2139606814754	2.8053110995321	2.24488576426396	2.2093443833323	2.70106726114216	2.7833051563271	2.14305093500621	2.13186279870891	1.92375698423294	2.32098998260333	2.65050100228447	2.7218314538709	2.18291593103697	1.78367023572016	1.80968518470534	2.3917297984093	1.57947788866005	1.87043462714552	1.76421996102158	1.56991086787435	2.24756829990392	2.06894199385773	1.89825040051991	2.65406844251349	2.65313566560815	2.00379748167598	1.80107357920491	2.02241788382124	2.32941962949014	2.78725478345181	1.75136279939966	2.38252299442335	1.7320731936685	2.67661162118078	2.33447640451151	2.55792266703276	2.60551292261505	2.4346989617694	1.74163336507142	2.40824549227835	1.78650145801732	2.08509394425935	2.3906400989804	2.20189609046908	2.19088657856289	1.76335427913196	2.20017570592237	2.47850267954061	2.88384331198403	2.4818521528272	1.75974499562721	1.62518342876058	1.80794228398309	2.55213901424119	2.67397030956423	2.45239434036657	1.71928484506727	1.88813610135816
2011Aamer948	1.31207749897786	1.09726015194666	1.38418929265401	0	1.58469269759155	1.30154498955434	1.4853997930601	1.42094046460504	1.37492590807141	1.40063018299907	1.71228798654636	1.66152638366654	1.29577418933779	1.75357178808853	1.17449570273926	1.30555754848838	1.29082824244088	1.70144054335407	1.25766587143883	1.6225110602982	1.50198465563101	1.53767730409569	1.70179910915625	1.27006306581996	1.66917367391683	1.20708904287753	1.5276974758037	1.51199402376498	1.80704232913842	1.25231122267151	1.65455084273618	1.55786166960388	1.61313869406539	2.69594159869757	2.71604589489795	2.71118158379847	2.68702319431951	2.67755627040908	1.61691458669282	1.25364015862328	2.37338819107094	2.70117953220403	1.85261644257898	1.68685698102803	1.45179613518841	2.70515606218957	2.71468621942813	2.19096731782402	2.6762489117584	1.83302155402194	2.07951620036897	2.25521503946497	1.5865687832565	1.87993060405458	1.80674972359538	2.70022832901868	2.03207809254	1.64699107916254	1.6468030820681	1.65271053130395	1.86507494265271	1.72708799207394	2.69445863025711	1.58959580490136	2.01491673266168	1.75153229289071	1.79407788439075	1.63379190790688	1.6588984173279	1.69018704822395	2.12547663256715	1.9436177209719	1.89795766620254	2.12650734109807	1.78644639778332	1.70301332712284	2.0786653266897	2.02516843192832	1.73518474246375	1.6740648981527	1.69412869319217	1.84872372854221	2.03751601715397	2.10970922414322	1.90316651916405	1.68001163508888	1.65360838965095	1.78012982065719	1.58771844856385	1.76945461916405	1.76356578885138	1.51758087096668	1.73953194464574	1.66422039493632	1.94143621068373	2.92135410819469	2.92016005952961	1.84906937794421	1.96514060810874	1.98225279077468	2.18292961529592	2.25830983637078	1.8271211484866	2.23474983932162	1.87812824112492	2.95889549826249	2.58825374973379	2.75986164457134	2.84369210630476	2.48499915385197	1.87782288826609	2.60456460741081	1.81984539137038	2.19853772954594	2.23141979687844	1.98589143183382	2.00266721262695	1.83141949532569	2.02397238804016	2.2816265241805	2.25559550527638	2.12974880720403	1.81422384625465	1.87630057154391	1.79279498419981	2.74589105982666	2.9533159829986	2.63086936271074	1.87066490355007	2.10350356130433
2011Aamer949	0.967709742147923	1.39234195735818	0.642546617558602	1.58469269759155	0	0.706008832990069	2.5109657193556	1.72566786556394	0.804946414979283	0.897738550388697	0.545302368281122	0.547334464219092	1.25953690620958	0.53692971689412	2.05493210555361	2.05445996053927	2.2801759664914	1.32040956311479	1.07316714194575	2.68597814111619	0.614253817682072	0.570498304445333	1.62609495219099	1.12758555296882	0.522916754505915	0.828100960504817	2.57594914953518	2.5385282348351	1.46710059847169	2.242335081474	0.524954793915628	2.62129204966845	0.522644116315299	3.77697161161823	3.78555637433205	3.78556678344551	3.75994754013231	3.75730643794235	2.22141270856813	2.07343811893121	3.4185823799875	3.77223929438788	2.78264031787617	1.88741535481594	2.36374330869788	3.78133168281004	3.78759492437048	1.5464602384229	3.74873841884466	1.58045255448843	1.72958265507289	1.49034378489897	1.61561785027834	2.81354749053806	2.36399595586964	3.78062773819203	2.8348092357672	2.16779494525728	1.88951825968499	2.04764000586163	1.60044987776781	2.46944592124549	3.77417235093086	2.13966935067454	1.74933255543764	2.16309719153463	1.73276428222191	2.26566231241816	2.35504315234881	2.46986778825669	2.9435875742731	2.59552159209243	2.30741380679388	2.97320378356883	2.37082132157044	2.35370340452828	2.85409243446389	2.99080940934975	2.25799152201309	2.27792130343763	2.03646116929172	2.44369885546828	2.79947192178757	2.87001483599458	2.26492116394258	1.87938808242577	1.91268331132626	2.57512645784649	1.63335702804806	1.94911170933608	1.83306950715542	1.66733847374671	2.40074495501563	2.21822229776143	1.9475147119357	2.62138165885245	2.62048853890033	2.10118374786666	1.82454869055665	2.06361681075678	2.40254679445001	2.94127500311872	1.81088272176003	2.4627931029041	1.77629028936686	2.63929421767222	2.3158843064633	2.54486310096673	2.58166863466092	2.45979753605109	1.78720075035291	2.40126918349589	1.85500715299645	2.10424163909875	2.45802227411612	2.27048615528107	2.25400215668686	1.82447093033542	2.26445652306751	2.5388053376358	3.0473040254315	2.60463709674054	1.82286802480405	1.64333610097204	1.88640292549444	2.54156804915902	2.63741872647765	2.44878320575383	1.76096033238344	1.90026380979221
2011Aamer951	0.918635188489969	1.21766143612418	0.642636644947983	1.30154498955434	0.706008832990069	0	2.19609569604674	1.61666613284314	0.812366721767946	0.899760279895707	0.77220142792344	0.750871085585269	1.15958152216306	0.784144883824412	1.75137326314952	1.80837058575531	1.95647682120208	1.35675297958656	0.981595689749094	2.37469076634117	0.724381094966593	0.689466031742681	1.60247521680399	1.04572046038987	0.730506698561348	0.672657175786447	2.25004266704723	2.22623174657649	1.50646755618035	1.92767484841583	0.731517584779068	2.28824064847625	0.706165942839925	3.49699579007582	3.50722620682556	3.5063900397269	3.48090801237938	3.47707831714688	2.02950198016804	1.76374483426175	3.14498735699605	3.49362177051495	2.52872024095589	1.79656077182293	2.07717633147309	3.50193418070314	3.50873793773587	1.70387419113003	3.46975885974487	1.59890715387824	1.82004200927369	1.68273524839085	1.55200582349874	2.55695691967952	2.22159720381891	3.50062420283997	2.64039380900634	2.01980111000638	1.78980078239367	1.90823448426943	1.64674431054399	2.26158629000443	3.49440275370098	1.96018196874627	1.81492076126425	2.03682249215119	1.71519918015955	2.0845756481548	2.15898419802948	2.24907598749931	2.74592741837671	2.43646059375398	2.20202916929749	2.76835673150337	2.21874154556834	2.17752939409185	2.66684469013139	2.73379728661673	2.1190563838499	2.10481971690618	1.91352759122804	2.30178032802763	2.616352798385	2.68846633412862	2.18009556492164	1.79493144709652	1.81723454174578	2.35587870326742	1.59514026170491	1.88354029624455	1.7905105881315	1.58022524274991	2.22018685750975	2.05433390552558	1.93582801379616	2.72187096214424	2.72105983224331	2.02367379782242	1.84748841766275	2.05263490971678	2.35478221168838	2.77145240966736	1.78260885437692	2.40902733747087	1.76948942565504	2.74587295001098	2.39886769932796	2.61956990122768	2.67068216660014	2.48157665688389	1.77678258391397	2.46946561284481	1.81246583381315	2.13556703475611	2.41577779644093	2.21496090449403	2.20540700887591	1.79301251677254	2.21746922685773	2.49954547154598	2.85614283050988	2.48732058661263	1.79304516614195	1.67443095768682	1.83061669560452	2.61303277258667	2.74294841556508	2.51164307896007	1.76163134556467	1.94096229965963
2011Aamer952	2.08492690601637	1.66500235882085	2.27606219314038	1.4853997930601	2.5109657193556	2.19609569604674	0	1.7828163153121	2.22062702888463	2.23043254302321	2.65577770282153	2.59342043002576	1.97938307709523	2.69997886914342	1.27295639409133	1.41978669131317	1.16212033530698	2.4069233842713	2.00931751925747	1.26900497453201	2.40492544405975	2.46199690707361	2.25521614142237	1.99418472749668	2.61742881359666	2.06256895188888	1.22368353043914	1.2137654299839	2.46945189640151	1.15482519388087	2.59969385326234	1.21317561941048	2.55056535493957	2.11592617661557	2.14938723201591	2.13972587178802	2.11838996747011	2.10210119028366	1.67906332406702	1.34203863138957	1.85781524808039	2.1337200792065	1.54296955369346	2.06786370724717	1.30925526341161	2.13178766498214	2.14448743786715	2.886794227497	2.10933147408675	2.42230401113073	2.60957258140984	2.99410898539181	2.09408809396095	1.56168494703189	1.81722811470299	2.12221115896086	1.76248817287209	1.76733802108029	1.98505449154526	1.87579150319432	2.44410849543796	1.65313809517021	2.11810926950287	1.72993957647803	2.51998696509863	1.86921165624388	2.28019729388731	1.6889981879561	1.61653304303191	1.52864155319192	1.79352606795552	1.78563010558654	1.96750547847725	1.77001578890387	1.73486072634318	1.67255229003371	1.78047407215073	1.61392167032232	1.7703410542774	1.68744403982177	1.93682789895437	1.80180956733446	1.77064131675786	1.82499657991789	2.01399761067981	2.03862207329191	1.96925509621659	1.62362928461826	2.05151215813531	2.06712902460345	2.18381606043275	1.97029919022543	1.66000766051726	1.74831807105258	2.33223754575493	3.38195385285326	3.38057043455287	2.14475905156174	2.4380730240969	2.29499004726883	2.39235735064455	2.08681979036188	2.29818530074318	2.46640941957393	2.38508855602303	3.42678145998618	3.06878884189382	3.18885743862767	3.29035469799002	2.81708956328477	2.37900503806676	3.0442421949142	2.26380865257976	2.60252590002021	2.44238045777516	2.14677878827466	2.18042913825605	2.29646225501662	2.20804628929785	2.41248874776505	1.97714022722871	2.19501129837684	2.27393329669716	2.4444853727832	2.20863629199581	3.17038573815758	3.41976084954431	3.05598100070517	2.37872180734045	2.61685682573789
2011Aamer953	1.37012015927363	1.09123552073785	1.6213307472308	1.42094046460504	1.72566786556394	1.61666613284314	1.7828163153121	0	1.45648344893102	1.46492368737761	1.89961282443213	1.82289250069059	1.35686160715454	1.93587509103196	1.55059281951098	1.45656098477304	1.68549262259881	1.60276197524554	1.36005049698384	1.9213420621399	1.61463282116368	1.71914651484945	1.49356189193987	1.27654519526964	1.86074066572131	1.54184095371377	1.88811022316469	1.81238324507125	1.65564065662691	1.65266108799324	1.84836715678974	1.9021540016894	1.79329680189783	2.70059158449107	2.72288832727528	2.71779035719167	2.69339115572636	2.68457533308287	1.47459481194937	1.68663334109729	2.36745504872532	2.70686732026932	1.81204375511962	1.42071318712434	1.6387409327322	2.71045719515306	2.72114745155807	1.87411529812789	2.68302790465139	1.58871586359078	1.56232623930183	1.97219558295241	1.34556758404325	1.85524462035199	1.35020307920327	2.70582870881455	1.6854613508209	1.32527213836065	1.3697443911829	1.44530267393062	1.45923708155289	1.56745916318863	2.69914592146534	1.42606992836116	1.48578632379693	1.34484325427352	1.47156895093774	1.41237320740023	1.45036394311807	1.52880035673269	1.82530476160421	1.55099389631294	1.4567101131464	1.85654547177924	1.41529627609381	1.43129304208188	1.72095497895325	1.95522389833927	1.36608993631862	1.41528387079801	1.46380719901598	1.41083286585584	1.67637901931663	1.76459237893373	1.35205946161365	1.32491851495932	1.09109620828504	1.63872302964992	1.19386492409569	1.32365590009753	1.37273514212939	1.18026052613396	1.45446229454978	1.40302082758311	1.40767656646902	2.4323610083974	2.43020417591774	1.4334005662546	1.48738766213251	1.31380145909723	1.64664025252026	1.90556819448452	1.490730906193	1.78531566805537	1.54894641512965	2.47005859798265	2.11719951439844	2.26621302697915	2.35192530450225	1.95055346745251	1.55284126689884	2.11444668702264	1.49989832071911	1.64602967160346	1.59106814887075	1.32544645181124	1.31673960974788	1.50307885632158	1.37680872509837	1.63620491378739	1.94386517441231	1.68259787671475	1.44919487480497	1.50566329878164	1.46439735556576	2.25393241826635	2.46445388968124	2.13954997913346	1.46471708767052	1.69459624768734
2011Aamer957	0.863546621196563	1.22260929568689	0.770833911661909	1.37492590807141	0.804946414979283	0.812366721767946	2.22062702888463	1.45648344893102	0	0.807324053126129	0.892320914202396	0.841334165787887	1.0658151355343	0.913110631469155	1.78849077805087	1.76441391013078	2.00747744188696	1.1980717378684	0.912654760682264	2.38259794560979	0.75840287020488	0.785230859494837	1.39512150300359	0.908742725985744	0.861198597809471	0.848480516618384	2.28867746220847	2.23847873525817	1.33491499021923	1.96660166873137	0.855581747407575	2.32617944914166	0.812830330415272	3.39997565005545	3.41131532960558	3.40974364169332	3.38459636782335	3.38019670463584	1.91809002198854	1.84168260442374	3.04759373702582	3.39732154621873	2.42916209087167	1.61495362842374	2.05872794262379	3.40475057363399	3.41215373044313	1.51679445831563	3.37330607755685	1.44746258834728	1.59426033072425	1.51273903210005	1.38352261203278	2.46400472078667	2.05226551883425	3.40319804986589	2.49177646366342	1.87229311928528	1.62431963702992	1.77750433328839	1.38982291764203	2.13100515024389	3.39633912622356	1.83279186522365	1.57447976741145	1.89047658602771	1.52493614545134	1.92802809439126	2.04009873540792	2.14213658455898	2.61694604271945	2.3056535102825	2.0644277939325	2.63908833136672	2.09352299121767	2.05976806960007	2.53951578672116	2.63193059528001	1.99687637216754	1.98137735567383	1.78412058128676	2.14653200562465	2.49071315916285	2.56112258432723	2.01306220727999	1.61452811611876	1.62926596576188	2.22875817571916	1.42472902296753	1.693929704785	1.56753121576159	1.4024505948168	2.08789303113378	1.89880089571392	1.69352346859381	2.45828215615905	2.45701573426871	1.78913820058401	1.61982209735823	1.81491660183381	2.10492646823019	2.59676982293445	1.58512502001167	2.15605284720806	1.57696729146327	2.48281820080005	2.14110668515723	2.3527023608523	2.40519382607016	2.21516059236909	1.58755352396447	2.1990130400366	1.62500003717661	1.86996820613908	2.16654322681201	2.00027988689658	1.99220683699183	1.60075194945282	1.99632881321164	2.25844977045716	2.70442449263591	2.26114065044061	1.5777838408708	1.45739460793225	1.63798902978866	2.34587594919254	2.47976115928551	2.24339602806147	1.54520988443706	1.70884727212996
2011Aamer958	0.926531326368407	1.24486172748382	0.869190798011576	1.40063018299907	0.897738550388697	0.899760279895707	2.23043254302321	1.46492368737761	0.807324053126129	0	0.984945911128626	0.930923301477625	0.899776737709972	1.00902682924886	1.80167876671037	1.67687975297366	1.95503266632734	0.979123661572428	0.964506797127941	2.38468509325487	0.850707780656202	0.875082264258052	1.36480677095148	0.948809651961867	0.948542470603715	0.926289544580419	2.2953684040892	2.24110793960153	1.30989100535503	1.98016369127277	0.94164987026973	2.32702978310743	0.90776139692818	3.38734317615325	3.39949723360941	3.39755654005551	3.37267494962841	3.3676370597315	1.91819815830795	1.8429908926202	3.03699697161472	3.38541272703551	2.42176780767356	1.63103647458265	2.05809247982641	3.39246992498401	3.40002326672642	1.55302572011767	3.36127476446779	1.49546596800629	1.61663961674858	1.55280501302868	1.40127359086368	2.45938163560254	2.05072940366544	3.39044320734576	2.47832233193283	1.87590738632295	1.63059322716581	1.78221209055853	1.4252322338584	2.12960711206363	3.38339747375519	1.8382236748742	1.59122218289276	1.89657520520042	1.5386930291075	1.91739132507269	2.03824315143827	2.13976689674413	2.6032929607282	2.2971801265273	2.06732032700329	2.62534581603643	2.0939546175309	2.05802025323222	2.52868029078332	2.62428620365062	1.99984163054553	1.97804957817872	1.79047399158016	2.13870956537231	2.48435346940507	2.54927228129578	2.01385962738295	1.6234147517828	1.63750657864388	2.21695790651086	1.43654143025393	1.70015878611234	1.57710024365574	1.41097818431186	2.07410709221944	1.90031571488792	1.71450564941501	2.44356216376339	2.44234122522591	1.70503199593644	1.65259908827398	1.82396269381257	2.02573393617178	2.57595260635148	1.58879545945317	2.07961514591859	1.61399282597569	2.46836043602469	2.13667149866866	2.33612901877871	2.38971510746365	2.19723900471546	1.62416326589909	2.18108498630636	1.65601416109102	1.87000629645598	2.14575084810492	2.00968318978913	2.00245036191787	1.62240080744032	2.00557740716308	2.23810964985498	2.68656064465163	2.19524880656043	1.56697765879383	1.49099169932163	1.66584651256111	2.32832343319651	2.46526707626354	2.18546195157271	1.57982192617016	1.72558876830953
