2011Aamer1000	2011Aamer1001	2011Aamer947	2011Aamer948	2011Aamer949	2011Aamer951	2011Aamer952	2011Aamer953	2011Aamer957	2011Aamer958	2011Aamer959	2011Aamer961	2011Aamer962	2011Aamer963	2011Aamer964	2011Aamer965	2011Aamer966	2011Aamer971	2011Aamer974	2011Aamer975	2011Aamer976	2011Aamer978	2011Aamer982	2011Aamer983	2011Aamer987	2011Aamer989	2011Aamer990	2011Aamer992	2011Aamer993	2011Aamer994	2011Aamer995	2011Aamer996	2011Aamer997	2011Dvar1	2011Dvar16	2011Dvar17	2011Dvar18	2011Dvar2	2011Dvar20	2011Dvar22	2011Dvar23	2011Dvar26	2011Dvar28	2011Dvar3	2011Dvar32	2011Dvar4	2011Dvar40	2011Dvar42	2011Dvar46	2013Dvar51	2013Dvar52	2013Dvar55	2013Dvar62	2013Dvar63	2013Dvar64	2013Dvar65	AM2_FL05_15	AM2_TH07_28	AM2_TH07_29	AM2_TH07_30	AM2_TH07_31	AM2_TH07_32	AM2_TH07_33	AM2_TH07_34	AM2_TH07_41	AM2_TH07_43	AM2_TH07_48	AM2_TH07_49	AM2_TH07_50	AM2_TH07_89	AM_FL05_10	AM_FL05_12	AM_FL05_13	AM_FL05_16	AM_FL05_17	AM_FL05_19	AM_FL05_2	AM_FL05_20	AM_FL05_21	AM_FL05_24	AM_FL05_27	AM_FL05_6	AM_FL05_7	AM_FL05_8	AM_FL05_9	DV2_2011Dvar19	DV2_2011Dvar30	DV2_2011Dvar43	DV2_2011Dvar48	DV2_2011Dvar49	DV2_2011Dvar5	DV2_2013Dvar56	DV2_2013Dvar66	DV_FL05_14	IS_CT_1	IS_CT_10	IS_CT_11	IS_CT_12	IS_CT_13	IS_CT_14	IS_CT_15	IS_CT_17	IS_CT_19	IS_CT_2	IS_CT_21	IS_CT_22	IS_CT_23	IS_CT_24	IS_CT_25	IS_CT_26	IS_CT_27	IS_CT_28	IS_CT_29	IS_CT_3	IS_CT_30	IS_CT_34	IS_CT_35	IS_CT_4	IS_CT_41	IS_CT_43	IS_CT_44	IS_CT_45	IS_CT_49	IS_CT_5	IS_CT_50	IS_CT_51	IS_CT_52	IS_CT_6	IS_CT_7	IS_CT_8
2011Aamer1000	0	6.89994190617234	6.90150461290256	6.90505395580147	6.5043002372458	6.90443911045617	6.90613404661761	6.87853150181809	0.304282811797106	0.0404710643721387	1.09082876926591	6.60808898327604	6.59771333977567	6.75899021033542	6.90544244090774	6.88357358582846	6.90712848664089	2.01310783366771	0.402734911351528	6.90256079535016	6.67764486054489	6.80258777124219	1.20785577495851	0.377882801239367	6.55201893326811	6.90416469246395	6.90556662179661	6.90537610264718	4.26217793461608	6.90656585006268	5.85772029686666	6.90643750461618	5.2782242694788	6.89229639814009	6.93969797708854	6.85981767520506	6.97668628036529	6.99617087019235	6.76224099849697	6.01885204124644	6.95814390935214	6.8855876765486	6.72704336266705	7.01031327493978	4.14685058665889	6.97277807593958	6.81299017994318	6.73907095454821	6.87135162285168	1.43017463040681	1.63510234119796	1.80627578607811	6.55913323349124	6.97280838082321	5.83342076682158	6.9331212738083	5.69465972910786	5.96469161646462	4.5396740649697	4.40656928958147	2.19456912549058	5.97329167151098	5.9160523319559	5.97547355430835	2.58908824468697	5.90063850682136	2.73866363386079	3.27040244349053	5.95490361012158	5.85208502258864	2.86338797631426	5.9076027234829	4.00334508317079	2.99393942273027	5.97030155063353	5.97742484281991	5.82750218797543	5.97344501225762	5.98607238924595	5.97694838180966	5.55019435470736	5.86525727968826	5.3387827492147	5.79599332836689	3.05828159724776	6.82296801876222	6.89785015540604	6.18198559311791	6.88888430212646	6.72001879527815	6.55244556869485	6.83297547652463	6.70162563923036	6.98145567039794	0.950705728809093	0.909049405396016	0.873307859985561	0.931549988802796	0.966331973700163	0.939407407585222	0.637164412509705	4.96606248647283	1.02533928113525	2.75027493380896	1.02680593670805	0.712348464062334	0.955257911791427	0.897057588039368	0.913131174774928	0.923356471157201	1.02565956850504	2.37596477980631	1.02237022773437	0.952157599489773	1.84333306832242	0.944462087610871	0.943978184286117	1.0246751374293	0.936435018462728	0.712438955007836	4.99256439066958	2.73150078434355	0.985323815229657	0.97519976705854	1.02348034107313	0.767558524627202	0.937681580655478	0.947919866923352	0.985431739105228	0.990896300300686
2011Aamer1001	6.89994190617234	0	0.0105104900346511	0.0135068600119606	0.503368305776093	0.0113549185197209	0.016529357446129	0.0333499359900196	6.66655174002976	6.92633901946906	5.95524076900855	0.393184185313902	0.401397712100109	0.207813307965959	0.0153798139918985	0.0275766977487589	0.0156615683678359	5.13003803996878	6.57957301576525	0.0198316867078698	0.310819443104527	0.148250717951639	5.84483958439097	6.60292595410939	0.454194890087936	0.0111034364300877	0.0180534095024319	0.0172190297722868	3.62834935859278	0.0159025559185874	1.17280746371232	0.0176032957963132	1.76040414516436	6.24279807941184	6.29695928162145	6.20814145225503	6.33698240339809	6.35818590295772	6.11212660090988	5.26534805735487	6.31722856820921	6.23911525484027	6.06795299520755	6.38325626346346	2.97429032837555	6.33207471487514	6.15649754928003	6.11683483451812	6.22607846094871	5.95750224029328	5.79792753807363	6.1295824329152	5.90754433721575	6.3374322744025	5.1764993031742	6.28826455546739	4.98823770102704	5.20768628671997	4.40887944963996	4.3975686432323	5.04861446563662	5.21568759809701	5.14800441514951	5.21906782377232	4.83988231913885	5.14925917620197	4.67038774581197	4.41035152972686	5.19454657344048	5.08841124183374	4.611451664309	5.16695800792712	4.34161841138126	4.55179160834097	5.21693329732954	5.22227637391588	5.11004088616567	5.21476867534393	5.2334991393891	5.22196197670476	4.88272345515689	5.12835747852326	4.72390845768782	5.08543988903304	4.52800411056029	6.18139836661988	6.26073493805712	5.51090944937339	6.25385722292773	6.0797829199754	5.89962846308991	6.19300370884922	6.05917574211171	6.3484702631462	7.44162768848029	7.42330323005958	7.39534268752096	7.4316552282275	7.43052074622968	7.25521563862973	7.07390645600351	5.03265289472113	7.41594936164215	5.65858938147655	7.41730288985853	7.19298341706779	7.43801529243955	7.41405904573543	7.42623650098775	7.43310983047285	7.4162775724847	5.85295995094401	7.41326532613519	7.43939248084033	6.14589329643575	7.44323679985193	7.442624965895	7.41534379787374	7.43739078164313	7.19840684253324	5.02846022356278	5.55820046995727	7.42343783601553	7.20831288078822	7.41421432750645	7.28506623976513	7.44309007263588	7.44689460643126	7.42375490003239	7.42389491245058
2011Aamer947	6.90150461290256	0.0105104900346511	0	0.0117234974889237	0.503236879349932	0.0057247915245535	0.0161558409696246	0.0383755194724411	6.66805172442665	6.92791555298302	5.95663901843754	0.39282097415215	0.401190278610806	0.207163319761959	0.0143830596138547	0.0304407210633635	0.0142567283319175	5.13182891996096	6.58106364031313	0.021360396861992	0.310353058019643	0.147529437588272	5.84623622311751	6.60441610483617	0.453946645103834	0.00570075989344394	0.0179716328557534	0.0169778338486451	3.63138891760926	0.0147610198104433	1.17335634076178	0.01699072646152	1.76122405787729	6.24636996291807	6.30048797841213	6.21172509030309	6.3404902539488	6.36168521061071	6.11609249086542	5.26977297080584	6.32076782805508	6.24265589181048	6.0716460044474	6.38678811980423	2.97594662311499	6.33558894223678	6.16010757407258	6.12077625213992	6.22960874406446	5.95925332811443	5.79892599449628	6.13016034866044	5.91169003926012	6.3409968104705	5.18146804422942	6.29180631503531	4.99382207194429	5.21245964005049	4.41328799456685	4.40187071772259	5.0505303053801	5.22025997408651	5.15243807325996	5.22369111031233	4.84231737729383	5.15448837944052	4.67242236446293	4.41326879931642	5.19922678731294	5.09345140999172	4.61375626175901	5.17249618241348	4.34553536252662	4.55432994844882	5.22196330874314	5.2271381108681	5.11583765154757	5.21930876245381	5.23847290135619	5.22675638277125	4.88802510628125	5.13399147688904	4.72934727161072	5.0912161096142	4.53062953824225	6.18513700972093	6.26437725637262	5.51535927105046	6.25771185804025	6.08390862906839	5.90358115857971	6.19677726571045	6.06337563336545	6.35207336656757	7.44313783252864	7.42482056748572	7.3968733090904	7.43316746393275	7.43203746368289	7.25651583703946	7.07559095008086	5.03683481702964	7.41747581609758	5.6614084192694	7.41882867192642	7.19461925913539	7.43952658702112	7.41558071107582	7.42775246279639	7.43462312633108	7.41780387993796	5.85556647499136	7.41479316226101	7.44090384274737	6.14826286676707	7.4447508189737	7.44414056178115	7.41687057028801	7.43890957473441	7.20004888179061	5.0326571802902	5.56110835625347	7.42495821500874	7.20961976846395	7.41574167017133	7.28665305936437	7.44459832099403	7.44840078969812	7.42527527269152	7.42541544048233
2011Aamer948	6.90505395580147	0.0135068600119606	0.0117234974889237	0	0.51007963638596	0.00841507376072255	0.00763388504186429	0.0422607352964984	6.67171862972511	6.93143873137853	5.96052116896396	0.399988387179932	0.408160366894936	0.2149459860892	0.0065382008918279	0.0338998908545309	0.00608566747938952	5.13503637550274	6.584750056566	0.0152702756005712	0.317739697604745	0.15553088846821	5.8501331631449	6.60810247617152	0.460938418268275	0.00825687981863016	0.00970945067910633	0.00874149835265096	3.63181120518275	0.00629675875071448	1.178980579277	0.00831930571783479	1.76635958177138	6.24378599030742	6.29794712338859	6.20911136900576	6.3379803211375	6.35919330203105	6.11373016338182	5.26706412140148	6.31828229933187	6.24007658697538	6.06906656981689	6.38453577160803	2.9790345679328	6.3330418569187	6.15744924265038	6.1187401810267	6.22709663206718	5.96255575288854	5.80388546174658	6.13557955603233	5.90947135983592	6.33865161456079	5.17902122897777	6.28927278192435	4.99058859834527	5.20834632045498	4.41177448589629	4.40077498806944	5.05401053850414	5.21601751460864	5.14793589112787	5.21954475983627	4.84490555900317	5.15083990453632	4.67607698574804	4.41538609116276	5.19499828836139	5.08957958190001	4.6170980544109	5.16900869899555	4.34549209086787	4.55729592418887	5.21802541994618	5.22306431318698	5.11254171092165	5.21500112335989	5.23450060337249	5.22269171117223	4.88477230121916	5.13052881875125	4.72627689720164	5.08795823746661	4.53339402696619	6.18285262449372	6.26205495450686	5.51279256794867	6.25555680300235	6.08182274886734	5.90123362189949	6.19456070768312	6.06127389698747	6.3497516324544	7.44676557255932	7.42844729865277	7.40048474097326	7.43679074709579	7.43565168771185	7.26059136935063	7.07896044238148	5.03400862169767	7.42106460154499	5.66249689352702	7.42241850281086	7.19809152543	7.44314999105606	7.41920241418991	7.43138049808027	7.43825390016601	7.42139295548644	5.85715305600481	7.4183799649503	7.44452945503425	6.15044805158629	7.44838340586683	7.44777284417213	7.42045891448267	7.44253930813656	7.20352761735488	5.02978062579534	5.56205534409358	7.42856193325328	7.21365451762294	7.41932914254719	7.29019283252555	7.44823352056079	7.45203502713546	7.42887920757494	7.42901858171318
2011Aamer949	6.5043002372458	0.503368305776093	0.503236879349932	0.51007963638596	0	0.507351063086252	0.512626238520645	0.479951133603412	6.26756165516919	6.53128164963219	5.54919600965818	0.119943696440497	0.1110935615575	0.307538480092394	0.51129483655133	0.485242535229615	0.513006929141278	4.73355506630677	6.17980710764886	0.509714050373574	0.204402446808325	0.365616678272258	5.43803491294181	6.20327707617171	0.0558486498180573	0.507096149340751	0.512203155365856	0.511991264098135	3.32216984638833	0.512707019183782	0.709368087819053	0.513145020333043	1.31092650616088	6.17223153450056	6.22651656731073	6.1370541081409	6.26705161648742	6.28845471993461	6.035746047606	5.16645882345516	6.24668616337823	6.16746372188303	5.9924627380971	6.31060467650271	2.61386701415402	6.26246146237122	6.08485200468626	6.03407988616232	6.15320373943583	5.57128504978016	5.38139669115977	5.71344660532953	5.82327470389001	6.26532512731143	5.06145989803761	6.21795957213078	4.87588029884355	5.12515906383602	4.18541676562161	4.15833672579555	4.65296848385685	5.13418399027486	5.06642778808682	5.13700062218036	4.46461871452867	5.05874819616107	4.28558581722572	4.06284595726491	5.1124474535445	4.99813456617417	4.2342827232498	5.07391954275168	4.06207029646813	4.18365194823677	5.13291120469891	5.13973691737142	5.00639716134005	5.13367747969372	5.15043016628031	5.13933432376811	4.75814206227272	5.03187090627173	4.58254738996847	4.9788086608908	4.16473292521735	6.10504441574482	6.18643186410959	5.41559121270299	6.17786999780059	5.99802610518454	5.81637256615773	6.11599335765011	5.97697175720003	6.27637709141822	7.05100702075359	7.03218137266584	7.00413537687032	7.0409907026057	7.04022574940852	6.85682349937554	6.68461760942923	4.85750466106939	7.02646067861168	5.32478265881231	7.02780398105168	6.8023758573299	7.04747817467457	7.02290801955464	7.035137321929	7.04209280444405	7.026784745947	5.50375008725944	7.02379282791969	7.04880594368739	5.78040784076195	7.05250617632631	7.05190431428827	7.02585848945567	7.04666673265543	6.80780740840566	4.85552107427035	5.22644893439799	7.03343752893775	6.81099120273913	7.02473762399906	6.89401959871402	7.05213538891026	7.05609900478548	7.03375214851723	7.03393423345297
2011Aamer951	6.90443911045617	0.0113549185197209	0.0057247915245535	0.00841507376072255	0.507351063086252	0	0.0127133582916946	0.041421616716863	6.67102297835691	6.93084283826986	5.95968435165122	0.397020591229285	0.405361162044331	0.211515938136781	0.0110475135582491	0.0332558440853529	0.0101839599056212	5.13472875191848	6.58404247266932	0.0195922539021318	0.314614107868603	0.151935617695387	5.8492887704269	6.60739415896023	0.458099517316638	0.00308251464754022	0.0148332161615881	0.0138514181427174	3.63342005864027	0.0109843320439843	1.1770608733987	0.0134831360002041	1.76475084193303	6.24681909859823	6.3009355101412	6.21216692179806	6.34094231778544	6.36214096424683	6.11665664434274	5.27037316991811	6.32123401900373	6.2430986915587	6.07212493652686	6.38731842708242	2.97868907116384	6.33602930304991	6.16054451177376	6.12145817170227	6.2300755357527	5.96210508090434	5.80220097646895	6.13349108471818	5.91235957548698	6.34150500442241	5.18222208283314	6.29226300178189	4.99436767432413	5.21260403431818	4.414592991598	4.40332044184988	5.05347871046779	5.22035241700511	5.15245740198723	5.22381883743361	4.8450328399089	5.15483783184372	4.67534351242753	4.41576785440202	5.19933195525116	5.09373286525305	4.61659275187506	5.17290593856658	4.34735593711074	4.55706354139611	5.22217597548134	5.22729615888697	5.11633182611442	5.21937799860017	5.23866584500738	5.22691729471177	4.88860218608638	5.13442164161439	4.73001488387569	5.0917298698884	4.53330677476405	6.18569807385458	6.26490539263323	5.51598398081425	6.25831110630518	6.08457277381554	5.90419376043188	6.19735835140356	6.06404026995867	6.35258971979522	7.44605469894052	7.42774025436956	7.39979139535692	7.43608409619658	7.43495051741341	7.25954428598303	7.0784644914666	5.03761258027227	7.42038054150922	5.66364695749107	7.42173360435132	7.19751467807269	7.44244226711482	7.41849987994472	7.43067219152126	7.43754278928186	7.42070867054141	5.85796190904586	7.41769751444377	7.44382019552465	6.15083581670134	7.44766935871662	7.44705906653283	7.41977521409139	7.44182786807612	7.20294583276948	5.03341480802758	5.56331666848562	7.4278680253878	7.2126357734618	7.41864614154065	7.28956033941233	7.4475181461429	7.45131951192213	7.42818512534942	7.4283249254575
2011Aamer952	6.90613404661761	0.016529357446129	0.0161558409696246	0.00763388504186429	0.512626238520645	0.0127133582916946	0	0.04399623099106	6.6728506805206	6.93250744741566	5.96174680942678	0.40268911543619	0.410772249928625	0.217942470298188	0.00683698707578861	0.035729633378851	0.00611698716370243	5.13596139904893	6.58589056328337	0.014768654344259	0.320544429633221	0.158649502265651	5.85136467862301	6.60924303726973	0.463557658220523	0.0124982921443493	0.00837043766938144	0.00738178476330759	3.63156768862644	0.0062253008832907	1.18097511933221	0.00659000888544165	1.76813184898633	6.24245527819097	6.29664923257998	6.20778044271338	6.3366903003521	6.35790661405516	6.11243159104528	5.26555585015324	6.31699396184184	6.23875924226342	6.06771890264307	6.38334512550805	2.97995581174	6.33173833424576	6.15609761750773	6.11757295317001	6.22580889973075	5.96351128412415	5.8055665173628	6.137490790865	5.90820442228597	6.33741813985116	5.17756204449217	6.28796576990071	4.98868382669837	5.206263976122	4.41065185194133	4.39981401443314	5.05502505816183	5.21389825196496	5.14571286480433	5.21745474815774	4.84551782382995	5.14881684581952	4.6771468227012	4.41577594443124	5.19286937196281	5.08749051661543	4.61801550335575	5.16701043970158	4.34495797400576	4.55804404923643	5.21595121477385	5.22097906957916	5.11058012585136	5.21284198748212	5.23243286055495	5.2206048936428	4.88290397456947	5.12855429172448	4.72446067611305	5.08601427328462	4.53405771271955	6.18163070920545	6.26083238073706	5.51133655343699	6.25436698453986	6.0806023608605	5.89995402829886	6.19336375660138	6.06003419317804	6.34852021644429	7.44787690501295	7.42955810104961	7.40158838755174	7.43790040355536	7.43675688755499	7.26189956592711	7.07995222358705	5.0324168579975	7.42215874631232	5.66251670350631	7.42351313160708	7.19913155700633	7.44425960931681	7.42031087605911	7.43249192417068	7.4393664296767	7.42248722022466	5.85738312364676	7.41947315899097	7.44563981804888	6.15092988418201	7.44949626046443	7.44888539649005	7.42155284363625	7.44365032297105	7.20456875546004	5.0281685369669	5.56200609367121	7.42966267226833	7.21494512519439	7.42042266077503	7.29126356976501	7.44934834853022	7.45314957807999	7.42998003710335	7.4301190671034
2011Aamer953	6.87853150181809	0.0333499359900196	0.0383755194724411	0.0422607352964984	0.479951133603412	0.041421616716863	0.04399623099106	0	6.64513266557986	6.90492230109341	5.93371284391864	0.370029811888921	0.377870897429519	0.185538007999224	0.043150767342227	0.022067530594201	0.0448855282324092	5.10793045042649	6.55813714941715	0.0414793242777495	0.287822462151532	0.126724823191828	5.8232751045461	6.58149776096798	0.430902148590141	0.0409969614584179	0.0439201412033443	0.0437246275259848	3.60681205957976	0.0444465563107965	1.14974448586941	0.0448799143718089	1.73763473427056	6.22922334471176	6.28348938226827	6.1945008117432	6.32358888325238	6.34482706065961	6.09748945762787	5.24902323536322	6.30374869169395	6.22559940016741	6.05400071898073	6.36969991282945	2.95353003465801	6.31869240558262	6.14277628931769	6.10187950977518	6.21250137907704	5.93607478618505	5.77687203075853	6.10952878948286	5.89207457408212	6.32383858484638	5.15858316005026	6.27476077560257	4.96979993060821	5.19289447435553	4.38831852316923	4.37664789566433	5.02633285645413	5.20123590139443	5.1337221397831	5.20442354514092	4.81721942895619	5.13243139375018	4.648549197701	4.38807225383427	5.17992232977725	5.07205367843218	4.58939761520473	5.14965312464179	4.31990659566687	4.52960379896359	5.20156416814955	5.20740437895439	5.09189645633261	5.20039203732462	5.21838378544775	5.20706469999845	4.86437658734954	5.11085718542782	4.70497171127697	5.06716793840869	4.50580076971276	6.16724520227426	6.24686166799579	5.49458912257621	6.23955640624091	6.06453259204747	5.88460683781717	6.17871136667909	6.04379878502331	6.33480867315607	7.4205699885395	7.40220536775508	7.37420918005596	7.41059039873077	7.40945988903404	7.23430048630876	7.05247114501558	5.01446607799573	7.39489688495361	5.63679517105504	7.39625146629144	7.17162860539128	7.41695760290833	7.39294939661792	7.40514305086603	7.41202696256618	7.39522524717855	5.83103046272027	7.39221050211729	7.41833321244009	6.12385286831048	7.42217003713604	7.42155632857702	7.39429076192458	7.41631398346382	7.17704414160181	5.01034196501908	5.53623905373212	7.40237938285526	7.18742011866467	7.39316038522626	7.26380815941588	7.42202244233799	7.4258390898462	7.40269623306429	7.40283762827521
2011Aamer957	0.304282811797106	6.66655174002976	6.66805172442665	6.67171862972511	6.26756165516919	6.67102297835691	6.6728506805206	6.64513266557986	0	0.339876344607872	0.812198368067124	6.37196417605981	6.36165319973865	6.52402495357922	6.67213769258863	6.65016286311425	6.67381712391622	1.77503615384895	0.104228268672371	6.66932066736979	6.44203661173376	6.56804298595519	0.931618067727682	0.0774909746517618	6.31554182355923	6.67075130140712	6.67229602218117	6.6720970490894	4.06371572196128	6.6732656150018	5.6177678730006	6.67316089151631	5.0358130517494	6.80472604399475	6.85261049569994	6.77180680109532	6.89007269421334	6.9097923358295	6.6725935221623	5.91285625832385	6.87121783868875	6.79762947338917	6.63657125256561	6.92351588804961	3.92644087163302	6.88621802166665	6.72437098943553	6.64863279005588	6.78293760443682	1.28299768739351	1.43210605958318	1.66834019118368	6.46622326979204	6.88567817859567	5.72688804714893	6.84600669158472	5.58662099447812	5.86355270450291	4.40268380829681	4.26536872827143	1.99213810525557	5.87235664551129	5.81419509445766	5.87451810343702	2.41048634579681	5.79784203744625	2.5342706527726	3.08712887298147	5.8536271234009	5.74831358701935	2.66397846209746	5.80481173957549	3.84945576860593	2.80030802755617	5.86917078736639	5.87648316810698	5.72257437915986	5.87255156716404	5.88524523539645	5.8759996159361	5.43917086109577	5.76153884888797	5.22229952670021	5.69028187293751	2.86765904712098	6.73359952143987	6.80959951728227	6.08262081519385	6.80041169659315	6.62898055016483	6.45935909628705	6.74354799427321	6.61031180608154	6.89452961754644	1.1893501302151	1.14918952563718	1.11244137271153	1.17205150495686	1.19831087365496	1.11124159754796	0.830262259850284	4.85265913680167	1.24048942736789	2.65039991869885	1.24197891657412	0.92033393296007	1.1916902129794	1.13692412233032	1.15338035632837	1.16385021085194	1.24080918589854	2.28578951785187	1.23745142386619	1.18973271266516	1.77613733491874	1.18491724202205	1.18443706774444	1.23980588329436	1.17701350206277	0.922333759104794	4.87863205715552	2.62799103909185	1.2111358879129	1.12918265274735	1.23858327091265	0.994622792425978	1.17827285150723	1.18815268253179	1.21128138120353	1.21550426475871
2011Aamer958	0.0404710643721387	6.92633901946906	6.92791555298302	6.93143873137853	6.53128164963219	6.93084283826986	6.93250744741566	6.90492230109341	0.339876344607872	0	1.12318737189096	6.63497687556338	6.6245748216376	6.78568157631327	6.931820368972	6.9099582588104	6.93350786631914	2.03696931753586	0.437679319889767	6.92892126087871	6.70444600965459	6.82920269198517	1.23968919950118	0.413089780754723	6.57896225294097	6.93056759741882	6.93193601886816	6.93174717732518	4.28061042993514	6.93294336231008	5.88513214054677	6.93280909944334	5.3059210029575	6.89674134178152	6.9441361115524	6.86427315230168	6.98110680005612	7.00058776653658	6.76693312296279	6.02522250123358	6.96260904161466	6.89011283137913	6.73181507729429	7.01491601739026	4.17137833496173	6.97716785129305	6.81747354144431	6.74401575436597	6.8759641792302	1.44706774945631	1.66332195857745	1.83111805558083	6.56415371305834	6.97738074290996	5.83973105703544	6.93756056798254	5.70080283530019	5.96977219463898	4.5496762127176	4.41725001111553	2.21579295301102	5.97833093003542	5.92109562549862	5.98053874563545	2.60601992711838	5.90603223592208	2.76119027927213	3.28817684686644	5.95997058258017	5.85752580748405	2.88472348779066	5.91305201948094	4.01602405217966	3.01400538309846	5.9754509715547	5.98250623380469	5.83329007281542	5.9784783382262	5.99118335519548	5.98203770572977	5.55657649403832	5.87080341660785	5.34594815371324	5.80188181353731	3.07771424650939	6.82774691777463	6.90252648779697	6.18753358607832	6.89362786547725	6.72502537211921	6.55745880271567	6.83779710184045	6.70664578506396	6.9860109540129	0.927710385977148	0.88545322225505	0.849473819769885	0.908213190636168	0.944066716578226	0.929108284633642	0.61393067824325	4.97164768852933	1.00494016793939	2.75439037664419	1.00641302627874	0.689539642298474	0.932490819388308	0.873374248216679	0.889565926845021	0.899890976355869	1.00526391988485	2.37920403384421	1.00196640667848	0.92926911794551	1.84430915026965	0.921264121089324	0.920778327288058	1.00427608252463	0.913186908912414	0.689550762366221	4.99822310643007	2.7353270495527	0.963738921548366	0.96680495744496	1.0030789356911	0.743775193510235	0.914327467913655	0.924720301206027	0.963845921471152	0.969452010888712
