.	sim_CFSAN000189	sim_CFSAN000191	sim_CFSAN000211	sim_CFSAN000212	sim_CFSAN000228	sim_CFSAN000661	sim_CFSAN000669	sim_CFSAN000700	sim_CFSAN000752	sim_CFSAN000753	sim_CFSAN000951	sim_CFSAN000952	sim_CFSAN000954	sim_CFSAN000958	sim_CFSAN000960	sim_CFSAN000961	sim_CFSAN000963	sim_CFSAN000968	sim_CFSAN000970	sim_CFSAN001112	sim_CFSAN001115	sim_CFSAN001118	sim_CFSAN001140
sim_CFSAN000189	-	90	138	126	108	25	23	24	23	25	23	23	25	23	23	24	26	24	24	22	22	22	21	
sim_CFSAN000191	90	-	99	85	62	105	103	102	103	105	103	103	105	103	103	102	106	104	104	102	102	102	101	
sim_CFSAN000211	138	99	-	16	78	151	149	150	149	151	149	149	150	149	149	150	152	150	150	148	148	148	148	
sim_CFSAN000212	126	85	16	-	63	141	139	140	139	141	139	139	140	139	139	140	142	140	140	138	138	138	138	
sim_CFSAN000228	108	62	78	63	-	122	120	121	120	122	120	120	122	120	120	121	123	121	121	119	119	119	118	
sim_CFSAN000661	25	105	151	141	122	-	2	3	2	4	2	2	4	2	2	3	5	1	1	3	3	3	4	
sim_CFSAN000669	23	103	149	139	120	2	-	1	-	2	-	-	2	-	-	1	3	1	1	1	1	1	2	
sim_CFSAN000700	24	102	150	140	121	3	1	-	1	3	1	1	3	1	1	-	4	2	2	2	2	2	3	
sim_CFSAN000752	23	103	149	139	120	2	-	1	-	2	-	-	2	-	-	1	3	1	1	1	1	1	2	
sim_CFSAN000753	25	105	151	141	122	4	2	3	2	-	2	2	4	2	2	3	5	3	3	3	3	3	4	
sim_CFSAN000951	23	103	149	139	120	2	-	1	-	2	-	-	2	-	-	1	3	1	1	1	1	1	2	
sim_CFSAN000952	23	103	149	139	120	2	-	1	-	2	-	-	2	-	-	1	3	1	1	1	1	1	2	
sim_CFSAN000954	25	105	150	140	122	4	2	3	2	4	2	2	-	2	2	3	4	3	3	3	3	3	4	
sim_CFSAN000958	23	103	149	139	120	2	-	1	-	2	-	-	2	-	-	1	3	1	1	1	1	1	2	
sim_CFSAN000960	23	103	149	139	120	2	-	1	-	2	-	-	2	-	-	1	3	1	1	1	1	1	2	
sim_CFSAN000961	24	102	150	140	121	3	1	-	1	3	1	1	3	1	1	-	4	2	2	2	2	2	3	
sim_CFSAN000963	26	106	152	142	123	5	3	4	3	5	3	3	4	3	3	4	-	4	4	4	4	4	5	
sim_CFSAN000968	24	104	150	140	121	1	1	2	1	3	1	1	3	1	1	2	4	-	-	2	2	2	3	
sim_CFSAN000970	24	104	150	140	121	1	1	2	1	3	1	1	3	1	1	2	4	-	-	2	2	2	3	
sim_CFSAN001112	22	102	148	138	119	3	1	2	1	3	1	1	3	1	1	2	4	2	2	-	-	-	1	
sim_CFSAN001115	22	102	148	138	119	3	1	2	1	3	1	1	3	1	1	2	4	2	2	-	-	-	1	
sim_CFSAN001118	22	102	148	138	119	3	1	2	1	3	1	1	3	1	1	2	4	2	2	-	-	-	1	
sim_CFSAN001140	21	101	148	138	118	4	2	3	2	4	2	2	4	2	2	3	5	3	3	1	1	1	-	
