.	sim_CFSAN000189	sim_CFSAN000191	sim_CFSAN000211	sim_CFSAN000212	sim_CFSAN000228	sim_CFSAN000661	sim_CFSAN000669	sim_CFSAN000700	sim_CFSAN000752	sim_CFSAN000753	sim_CFSAN000951	sim_CFSAN000952	sim_CFSAN000954	sim_CFSAN000958	sim_CFSAN000960	sim_CFSAN000961	sim_CFSAN000963	sim_CFSAN000968	sim_CFSAN000970	sim_CFSAN001112	sim_CFSAN001115	sim_CFSAN001118	sim_CFSAN001140
sim_CFSAN000189	-	18	27	14	10	5	3	3	3	4	3	2	2	5	3	10	3	-	4	4	5	3	4	
sim_CFSAN000191	18	-	39	30	20	23	21	21	21	22	21	20	20	23	21	28	21	18	22	22	23	21	22	
sim_CFSAN000211	27	39	-	31	35	32	30	30	30	31	30	29	29	32	30	37	30	27	31	31	32	30	31	
sim_CFSAN000212	14	30	31	-	24	19	17	17	17	18	17	16	16	19	17	24	17	14	18	18	19	17	18	
sim_CFSAN000228	10	20	35	24	-	15	13	13	13	14	13	12	11	14	13	19	13	10	14	13	14	13	14	
sim_CFSAN000661	5	23	32	19	15	-	6	8	8	5	8	5	5	8	4	9	6	5	7	7	8	2	7	
sim_CFSAN000669	3	21	30	17	13	6	-	4	6	5	4	5	3	6	4	13	6	3	3	5	8	4	7	
sim_CFSAN000700	3	21	30	17	13	8	4	-	6	5	6	5	5	4	6	11	6	3	5	5	6	6	5	
sim_CFSAN000752	3	21	30	17	13	8	6	6	-	7	6	5	5	8	4	9	6	3	7	7	6	6	7	
sim_CFSAN000753	4	22	31	18	14	5	5	5	7	-	5	6	6	5	7	10	5	4	4	6	9	7	8	
sim_CFSAN000951	3	21	30	17	13	8	4	6	6	5	-	3	5	8	6	13	6	3	5	7	8	6	5	
sim_CFSAN000952	2	20	29	16	12	5	5	5	5	6	3	-	4	7	5	12	5	2	6	6	7	3	4	
sim_CFSAN000954	2	20	29	16	11	5	3	5	5	6	5	4	-	5	3	10	5	2	4	4	5	3	6	
sim_CFSAN000958	5	23	32	19	14	8	6	4	8	5	8	7	5	-	8	9	8	5	7	5	4	8	5	
sim_CFSAN000960	3	21	30	17	13	4	4	6	4	7	6	5	3	8	-	9	6	3	5	5	6	2	5	
sim_CFSAN000961	10	28	37	24	19	9	13	11	9	10	13	12	10	9	9	-	9	10	12	10	9	11	10	
sim_CFSAN000963	3	21	30	17	13	6	6	6	6	5	6	5	5	8	6	9	-	3	7	7	8	6	7	
sim_CFSAN000968	-	18	27	14	10	5	3	3	3	4	3	2	2	5	3	10	3	-	4	4	5	3	4	
sim_CFSAN000970	4	22	31	18	14	7	3	5	7	4	5	6	4	7	5	12	7	4	-	6	9	5	8	
sim_CFSAN001112	4	22	31	18	13	7	5	5	7	6	7	6	4	5	5	10	7	4	6	-	5	5	6	
sim_CFSAN001115	5	23	32	19	14	8	8	6	6	9	8	7	5	4	6	9	8	5	9	5	-	6	3	
sim_CFSAN001118	3	21	30	17	13	2	4	6	6	7	6	3	3	8	2	11	6	3	5	5	6	-	5	
sim_CFSAN001140	4	22	31	18	14	7	7	5	7	8	5	4	6	5	5	10	7	4	8	6	3	5	-	
