.	sim_CFSAN000189	sim_CFSAN000191	sim_CFSAN000211	sim_CFSAN000212	sim_CFSAN000228	sim_CFSAN000661	sim_CFSAN000669	sim_CFSAN000700	sim_CFSAN000752	sim_CFSAN000753	sim_CFSAN000951	sim_CFSAN000952	sim_CFSAN000954	sim_CFSAN000958	sim_CFSAN000960	sim_CFSAN000961	sim_CFSAN000963	sim_CFSAN000968	sim_CFSAN000970	sim_CFSAN001112	sim_CFSAN001115	sim_CFSAN001118	sim_CFSAN001140
sim_CFSAN000189	-	-	1	1	-	3	3	3	3	3	3	3	2	2	3	2	3	2	3	3	3	3	3	
sim_CFSAN000191	-	-	1	1	-	3	3	3	3	3	3	3	2	2	3	2	3	2	3	3	3	3	3	
sim_CFSAN000211	1	1	-	-	1	4	4	3	4	4	4	4	3	3	4	3	4	3	4	3	4	4	4	
sim_CFSAN000212	1	1	-	-	1	4	4	3	4	4	4	4	3	3	4	3	4	3	4	3	4	4	4	
sim_CFSAN000228	-	-	1	1	-	3	3	3	3	3	3	3	2	2	3	2	3	2	3	3	3	3	3	
sim_CFSAN000661	3	3	4	4	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
sim_CFSAN000669	3	3	4	4	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
sim_CFSAN000700	3	3	3	3	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
sim_CFSAN000752	3	3	4	4	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
sim_CFSAN000753	3	3	4	4	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
sim_CFSAN000951	3	3	4	4	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
sim_CFSAN000952	3	3	4	4	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
sim_CFSAN000954	2	2	3	3	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
sim_CFSAN000958	2	2	3	3	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
sim_CFSAN000960	3	3	4	4	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
sim_CFSAN000961	2	2	3	3	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
sim_CFSAN000963	3	3	4	4	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
sim_CFSAN000968	2	2	3	3	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
sim_CFSAN000970	3	3	4	4	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
sim_CFSAN001112	3	3	3	3	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
sim_CFSAN001115	3	3	4	4	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
sim_CFSAN001118	3	3	4	4	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
sim_CFSAN001140	3	3	4	4	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
